NAME,LATITUDE,LONGITUDE
Ko Fusion,40.319928,-88.283743
Koto Ramen,40.1104504,-88.231656
Kato's Cajun,40.116313,-88.241855
Juanito's Tacos,40.1337676,-88.2387896
Joe's Brewery,40.1101036,-88.2319433
Jet's Pizza,40.1120758,-88.2433789
Jerusalem Restaurant,40.111385,-88.229002
Jack's Tavern,39.9854892,-88.2592163
J & J's Homestead,40.3053446,-88.0214736
Fat Sandwich Company,40.1091862,-88.2316942
Intermezzo Café at Krannert,40.1086266,-88.2228056
I Wok,40.0589817,-88.2529739
I Café,40.0937411,-88.2373136
Huber's,40.1185118,-88.2684968
Huaraches Moroleon,40.1067191,-88.1957771
Hot Wok Express,40.116488,-88.222541
Hooters,40.0954301,-88.2462544
Home of Gourmet Chinese & Thai,40.1080534,-88.2301372
Hen House Family Restaurant,33.619894,-85.648818
Green Jade,40.0838944,-88.2872878
Good Fella,40.1056925,-88.2435059
Goldy's Bar & Grill,40.1161626,-88.2769346
Golden Wok,40.116232,-88.2039291
Golden Kitchen,40.0279758,-88.5742401
Game On Sports Tavern,39.9669758,-88.3464425
Fusilli Tony's Italian Food,40.1135794,-88.2072542
Fresh International Market,40.1114493,-88.2435837
Freeman's Tavern,38.9185145,-78.1949394
Five Guys Burger & Fries,35.7802153,51.3615505
First Wok,40.0963227,-88.1908182
Filippo's Pizza & Italian Food,40.02434,-88.573945
Fernando's,40.116876,-88.243624
El Patio,40.139723,-88.24653
East End Tavern,40.0253968,-88.5712022
Domino's,40.1241846,-88.2008469
Daly's Sports Bar,40.007069,-88.159657
Cravings,40.1113797,-88.2290018
Chinatown Buffet,40.1372722,-88.2544364
China Garden,40.1134587,-88.2030915
China Express,40.3121922,-88.1383864
Espresso Royale,40.1015561,-88.2317856
Charlie's Grub & Suds,32.7920224,-93.0465914
Caffe Bene,40.1104252,-88.2309368
Buzzard's Fine Dining & Other Things,40.317752,-88.349669
Butcher Boy Burgers,40.306106,-88.157401
Burrito King,40.110205,-88.240265
Bud's Bar,40.3108293,-88.1590318
Brothers Bar & Grill,40.1102118,-88.2300807
Bo Bo China,40.1103981,-88.2331124
Blue Star Family Restaurant,40.310704,-88.347987
Billy Bob's BBQ,40.1130921,-87.956329
Biggby Coffee,40.112724,-88.276876
Big JJ Fish & Chicken,40.1262901,-88.2387013
Betsy's Bistro,40.13234,-88.219404
Best Wok,40.1377839,-88.2606908
Basil Thai Café,40.1068667,-88.2217175
Bangkok Thai & Pho 911,40.1103465,-88.2332646
Bangkok Thai,40.123704,-88.201063
Bab Plus Korean,40.1063145,-88.2213205
B-Won,40.0923593,-88.245423
Asian Taste,40.1090791,-88.2502423
Cheese & Crackers,40.0975418,-88.2746621
Alto Vineyards,40.1701736,-88.2960119
JT Walker's Brewery,40.1949836,-88.4028961
BrewLab Coffee,40.1107382,-88.2319178
Amaravati,40.082495,-88.296249
Flying Machine Avionics,40.1151976,-88.2385343
Pandamonium Doughnuts,40.0840604,-88.3016138
Hopscotch Bakery + Market,40.109107,-88.2560485
Great Steak & Potato,40.116313,-88.241855
K-Bowl,40.1101173,-88.2411694
Jurassic Grill,40.110205,-88.240265
Judy's Sweets,39.9889704,-88.2619324
Guido's Bar & Grill,40.319923,-88.283528
Wine on Vine,39.7162291,-88.4725446
Itsa Pizza,39.7220456,-88.472622
SIPYARD,40.1127047,-88.209159
Central Tavern,40.24362,-88.185474
Masijta Grill,40.1138425,-88.2087186
Pauly's BBQ,39.7104503,-88.4690487
Bobo's BBQ,40.1125225,-88.2715843
Wild Hare Bar and Grill,8.4840437,-13.2272863
Smoked Food Truck,39.98177,-88.261257
Kona Ice,39.98177,-88.261257
Rantoul Public House,40.3108698,-88.1572696
Latea Lounge,40.1113787,-88.230584
Mid-Summer Lounge,40.1102146,-88.2299343
Mahomet Family Restaurant,40.1864948,-88.3798032
Triptych Brewing,40.0768564,-88.2492759
Destihl Brew Works,40.1184918,-88.2437783
Golden Harbor,40.1114493,-88.2435837
Garcia's Pizza in a Pan,40.1185746,-88.2769902
Fiesta Café,40.1147731,-88.2384771
FieldHouse 219,40.025396,-88.5729772
Farren's Pub & Eatery,40.315738,-88.3465026
Evo Café,40.110158,-88.230465
The Himalayan Chimney,40.1183572,-88.2441538
Esquire Lounge,40.1166611,-88.2424063
Empire Chinese Restaurant,40.1103465,-88.2332646
Dragon Fire,40.1164205,-88.2433829
Downtown Monticello,40.025313,-88.57208
Dos Reales,40.129754,-88.2580803
Denny's Restaurant,40.1432232,-88.2547808
D.P. Dough,40.110111,-88.241616
Cracker Barrel,40.1325773,-88.1975385
Cracked: The Egg Came First,40.1102132,-88.2300075
Cowboy Monkey,40.1174716,-88.2431617
Common Ground Food Co-op,39.967599,-87.881839
Chili's Bar & Grill,40.1390466,-88.2586626
Carmella's Crème,40.1127177,-88.272815
Caffé Paradiso,40.1057621,-88.2194361
Café Kopi,40.1126741,-88.2064176
Cactus Grill,40.0996477,-88.244778
Bunny's Tavern,40.1132078,-88.2082966
Brown Bag Deli & Restaurant,40.0255564,-88.5729129
Brass Rail,40.116227,-88.242824
Boomerang's Bar & Grill,40.1055751,-88.1930817
Bombay Indian Grill,40.110181,-88.23338
Bo Bo's BBQ,40.112859,-88.271342
Blind Pig Company,40.1127691,-88.2062012
Billy Barooz Pub & Grill,40.0821952,-88.2962496
Barrelhouse 34,40.319626,-88.2835264
Attie's Bar & Grill,40.0862658,-88.1697392
Aroma Cafe,40.1171072,-88.2434106
Applebee's,40.071598,-88.24887
Apple Dumpling,40.133411,-88.162975
Ambar India,40.1113744,-88.2290016
Alexander's Steakhouse,40.1359853,-88.2455101
