NAME,LATITUDE,LONGITUDE
Pies by Inge,41.8833394,-87.6346345
Pipa's Pub,40.1102153,-88.2827265
Pizza Roma,42.2661579,-88.0042549
Pizzeria Antica,40.1166868,-88.24282
Po Boy's,40.1177173,-88.2058577
Po' Boys Restaurant,40.1177173,-88.2058577
Popeye's Louisiana Kitchen,40.1331401,-88.2599658
Potbelly's,40.1100816,-88.2318659
Pour Bros. Craft Taproom,41.1536567,-87.8753492
Project 47 Smokehouse,42.2998834,-89.0426659
Quality Bar,40.1169757,-88.2434097
Quenchers Smoothies & Ice Cream,41.814661,-87.7229166
R & I Restaurant,40.1122201,-88.2050873
Rainbow Garden,40.1006313,-88.2439226
Rantoul Public House,40.3108698,-88.1572696
Red Bicycle Ice Cream,40.0830505,-88.1903755
Red Lobster,40.1384377,-88.2586612
Red Robin Gourmet Burgers,40.1402896,-88.2458186
Red Wheel Restaurant,40.3070831,-88.1733073
Rich's Family Restaurant,37.3662291,-89.0195976
Riggs Beer Company,40.0936729,-88.1624519
Roch's,42.260301,-88.142025
Rosati's Authentic Chicago Pizza,40.1068667,-88.2217175
Roselen's Coffees and Delights,39.710308,-88.4604423
Sakanaya,40.1101552,-88.2330881
Salad Meister,42.261401,-89.082406
Sam's Café,40.1127215,-88.2064173
Sammer's Bar & Grill,40.00032,-89.25037
Sammy's Pancake House,40.1286157,-88.2766301
San Maru,40.08245,-88.2962491
Sarku Japan,40.1340649,-88.2436534
Scotty's Brewhouse,40.0922873,-88.246241
Scratch,41.5216082,-88.0755114
Seoul Taco,42.2613529,-89.082184
Seven Saints,40.1165582,-88.2419945
Shooters Bar & Grill,40.4651336,-89.0027961
Siam Terrace,40.1125742,-88.2095509
Sidney Dairy Barn,39.930909,-89.0668983
Sidney Saloon,40.0239351,-88.0731965
Silvercreek Restaurant,40.115148,-88.208902
SIPYARD,40.1127047,-88.209159
Sitara Indian Restaurant & Lounge,40.1119449,-88.2086683
Slim Chickens,40.0905632,-88.2464432
Smackin' The Truck,40.1164205,-88.2433829
Smoked Food Truck,39.969539,-91.380467
Smoky's House BBQ,40.458377,-90.670256
Smoothie King,40.1111638,-88.281852
South China Restaurant,41.5228655,-88.1375883
Spoon House Korean Kitchen,40.1104271,-88.2294153
Stagecoach at Gordyville,40.00032,-89.25037
Steeple Gallery,41.523054,-88.08437
Sticky Rice,40.1198394,-88.2437618
Sun Singer Wine & Spirits,40.0832094,-88.2644318
Sunny China Buffet,40.092884,-88.190658
Super Taco,40.1425368,-88.2571235
Super WOK,40.0972455,-88.2752514
Sushi Ichiban,41.7656623,-88.1375721
Sushi Kame,25.492174,-80.434413
Sushi Rock,40.1102137,-88.2299831
Sweet Indulgence,40.0832148,-88.264687
Szechuan China,40.112815,-88.238824
T.G.I. Friday's,40.1378449,-88.2453911
Taco Motorizado,40.1179311,-88.2042263
Tang Dynasty,42.0048193,-87.9940473
Taste of Thai,40.3105182,-88.1584504
"Tasty Fish, Chicken & Grill",40.1340649,-88.2436534
TCBY,40.0972455,-88.2750033
Texas Roadhouse,40.117954,-88.2811039
Thara Thai,40.6615768,-89.5538653
That Burger Joint,40.0929452,-88.2460874
The Bread Company,40.1068135,-88.223744
The Clark Bar,40.1152379,-88.2454011
The Coffee House of Mahomet,40.1957377,-88.3979442
The Himalayan Chimney,37.7371131,-88.5424299
The Hub Champaign,40.8098072,-96.7202743
The Pink Pig,39.448414,-88.6450433
The Pop Stop,41.382593,-89.219146
The Red Herring Vegetarian Restaurant,40.1067707,-88.2252161
The Ribeye,40.0961586,-88.245412
The Second Cup,40.306842,-88.155897
The Snack Shack,39.969539,-91.380467
The Tastee Cup,42.0331425,-88.2914947
The Vault,41.7509049,-88.2962395
The Wheelhouse,42.0339632,-87.6721095
Tienda Guatemala,40.1151683,-88.209118
Timpone's,40.1067818,-88.223744
Tin Roof Tavern,40.3143926,-89.1762401
TK's Cheesesteak,40.3093061,-88.1585978
Toro Loco,40.11065,-88.19725
Tortica's,40.110428,-88.2325805
Traxside Bar & Grill,39.9863273,-88.2607591
Triptych Brewing,40.0768564,-88.2492759
Tumble Inn,40.0944676,-88.2451767
Urbana Family Garden,40.1324865,-88.2192426
Villa Italian Kitchen,40.14117,-88.2430531
Villa Pizza,40.1340649,-88.2436534
Vinny's Pizza,40.1105116,-88.2399968
Watson's Shack & Rail,40.00032,-89.25037
Wendy's,40.1403265,-88.2584512
Wienerschnitzel/Tastee Freez,41.536262,-90.435518
Wild Hare Bar and Grill,40.1157161,-88.235531
Windy City Express,40.115251,-88.2089069
Wine on Vine,40.1123512,-88.2050845
Wingin' Out,40.1099576,-88.2351344
Wingstop,40.1120758,-88.2433789
Wok,38.710364,-87.755934
Wood N' Hog Barbecue,41.2928127,-88.2725083
Xinh Xinh Café,38.604306,-89.292398
Y Eatery,40.106721,-88.228936
Yoder's Kitchen,39.709607,-88.458551
Yoyo's Frozen Yogurt,42.2998834,-89.0426659
Zorba's,25.492174,-80.434413
